window,n_visible_tau,n_actions,lp_success,lp_solve_ms,lp_fractional_value,lp_rounded_expected_value,greedy_expected_value,lp_rounding_gap,lp_rounding_gap_rel,lighting_U1,conveyor_speed_V_mps,full_bins,lp_selected_count,lp_true_value,lp_correct_bin_rate,lp_contamination_events,lp_robot_utilization,greedy_selected_count,greedy_true_value,greedy_correct_bin_rate,greedy_contamination_events,greedy_robot_utilization,missed_positive_value_lp_proxy
0,9,42,True,7.679540999999901,0.6745241029630655,0.5124935147929667,0.5124935147929667,0.16203058817009885,0.24021467499578894,dim,0.25,HDPE,2,1.1549110822291913,1.0,0,0.6414062500000001,2,1.1549110822291913,1.0,0,0.6414062500000001,1.1030676092621086
1,12,49,True,0.7885420000000032,2.5505222474557088,2.536914226480818,2.536914226480818,0.013608020974890778,0.005335386111007482,standard,0.65,,3,2.8452315819455785,1.0,0,0.7578125,3,2.8452315819455785,1.0,0,0.7578125,1.018765773738187
2,8,21,True,0.749542000000103,1.0347626368796554,0.5928185733974481,0.5928185733974481,0.44194406348220727,0.42709704402827803,standard,0.45,,1,0.7342025429329162,1.0,0,0.265625,1,0.7342025429329162,1.0,0,0.265625,1.1404963620640491
3,9,42,True,0.49616599999979805,0.6649438077254488,0.6649438077254488,0.6649438077254488,0.0,0.0,dim,0.65,,2,1.137292601695052,1.0,0,0.5445312499999999,2,1.137292601695052,1.0,0,0.5445312499999999,0.3900848741123246
4,8,25,True,0.48404200000007336,0.5259702105436648,0.5259702105436648,0.4879631607451644,0.0,0.0,standard,0.85,"PET,HDPE",1,0.833494286021089,1.0,0,0.234375,2,0.8360615429617563,1.0,0,0.57890625,0.05063673009198444
5,6,10,True,0.45125000000001414,0.20653033031709858,0.20653033031709858,0.20653033031709858,0.0,0.0,standard,0.65,"metal,glass",1,0.33203003159790856,1.0,0,0.29687499999999994,1,0.33203003159790856,1.0,0,0.29687499999999994,0.0
6,10,18,True,0.5150000000000432,0.31478060978484024,0.29054750808626545,0.08721432919716543,0.024233101698574788,0.07698409922751807,dim,0.65,organic,1,0.7109306777196222,1.0,0,0.328125,2,0.7994399715010329,1.0,0,0.6398437499999999,0.7069545469488058
7,6,30,True,0.7140419999998038,1.2092974490299224,0.6501359754721678,0.3582494103277789,0.5591614735577546,0.4623853907955435,standard,0.65,metal,1,0.8488216035247155,1.0,0,0.265625,2,0.5444373720618788,0.5,1,0.51171875,1.0977602456583622
8,7,28,True,0.5618330000001226,0.6391710208610274,0.6201414433919199,0.4846880268720236,0.019029577469107495,0.029772278229186218,standard,0.25,,1,0.913830813053953,1.0,0,0.234375,2,0.9567435297857529,1.0,0,0.57890625,0.32445210507226596
9,8,20,True,0.5601250000000224,0.22251405978260547,0.22251405978260547,0.15753821500029436,0.0,0.0,standard,0.45,"HDPE,glass",1,0.26739743337980176,1.0,0,0.34453125,2,0.32327056339836036,1.0,0,0.6414062500000001,0.05587313001855859
10,8,42,True,0.5675410000001158,2.69794104769298,1.9032853241632568,1.9789935093209245,0.7946557235297231,0.29454154463798843,standard,0.65,,2,2.0971446220727357,1.0,0,0.51328125,3,2.323021302284359,1.0,0,0.77890625,1.7202133225646037
11,7,28,True,0.5032910000000168,1.254337453221111,1.254337453221111,1.254337453221111,0.0,0.0,standard,0.45,,2,1.8483275765712113,1.0,0,0.51171875,2,1.8483275765712113,1.0,0,0.51171875,0.04158882532328989
12,9,36,True,0.5293339999998814,1.3924391495253607,0.9038281340339112,0.9038281340339112,0.4886110154914496,0.35090295734503146,standard,0.45,hazard,2,1.0036298972951065,1.0,0,0.6414062500000001,2,1.0036298972951065,1.0,0,0.6414062500000001,1.3003842063939943
13,7,18,True,0.5752500000000271,1.7539169665726688,0.9340149692819832,0.9340149692819832,0.8199019972906856,0.4674691065295166,standard,0.85,organic,1,1.113522565589384,1.0,0,0.265625,1,1.113522565589384,1.0,0,0.265625,1.537039018613843
14,10,30,True,0.5409579999999803,0.8053789295070213,0.8053789295070213,0.8053789295070213,0.0,0.0,dim,0.65,glass,2,1.4855595621630961,1.0,0,0.5,2,1.4855595621630961,1.0,0,0.5,0.8944249108518105
15,11,30,True,0.6682920000000703,1.3566283166549404,1.3566283166549402,1.3566283166549404,2.220446049250313e-16,1.6367386866325343e-16,standard,0.25,metal,3,2.0683394535498696,1.0,0,0.81171875,3,2.0683394535498696,1.0,0,0.81171875,0.3221270577869775
16,7,28,True,0.4556249999998485,1.8570392859519034,1.8570392859519034,1.8570392859519034,0.0,0.0,standard,0.45,,2,2.1346424237752974,1.0,0,0.57421875,2,2.1346424237752974,1.0,0,0.57421875,0.06808960925936525
17,10,63,True,0.660333000000124,2.138114803883655,1.5007311270760848,1.526846638097606,0.6373836768075702,0.29810545048836085,standard,0.45,,2,1.967648109166857,1.0,0,0.48046875,3,2.006536863668093,1.0,0,0.74609375,1.6037958913939279
18,12,42,True,0.8193340000000049,1.150547815946415,0.9026074228153963,0.9123034160539494,0.2479403931310188,0.21549768701013833,standard,0.85,,2,1.0775250119220585,1.0,0,0.61015625,3,1.1277492408855034,1.0,0,0.84453125,0.690564411086656
19,12,35,True,0.550834,1.632085690780093,1.1378846484296983,1.1378846484296983,0.49420104235039464,0.30280336696915705,standard,0.45,,2,1.3925484384190274,1.0,0,0.6398437499999999,2,1.3925484384190274,1.0,0,0.6398437499999999,1.2552469789989096
20,6,21,True,0.5127500000001728,2.293027227010368,1.5861137465223227,1.5861137465223227,0.7069134804880455,0.3082883064627689,standard,0.45,,2,1.7177398709855831,1.0,0,0.5445312499999999,2,1.7177398709855831,1.0,0,0.5445312499999999,1.180619230505966
21,6,35,True,0.515667000000164,1.3287216813470304,1.3072081460788385,0.7855817326872095,0.021513535268191886,0.01619115242131212,dim,0.85,,2,1.679642337005106,1.0,0,0.6070312499999999,2,1.0613894351896045,1.0,0,0.5445312499999999,1.1340985632428833
22,9,21,True,0.680082999999998,1.511855383846966,1.3397568606779513,1.3397568606779513,0.17209852316901464,0.11383266217639432,standard,0.45,,2,1.6038175370077812,1.0,0,0.6070312499999999,2,1.6038175370077812,1.0,0,0.6070312499999999,0.6091400111708549
23,10,36,True,0.5468749999999467,1.5750854152616098,1.4715521642038785,0.9217330473950773,0.10353325105773137,0.0657318327339951,standard,0.85,glass,2,1.6560373326337854,1.0,0,0.5757812499999999,1,0.9409389982871073,1.0,0,0.265625,1.3542196341117037
24,4,28,True,0.5054589999999859,0.05403778498920528,0.03159271549234705,0.03159271549234705,0.022445069496858226,0.4153587994278801,standard,0.45,,1,0.1230823281499599,1.0,0,0.27890624999999997,1,0.1230823281499599,1.0,0,0.27890624999999997,0.2518271894607758
25,7,35,True,0.8040000000000269,0.3004517519217606,0.3004517519217606,0.3004517519217606,0.0,0.0,standard,0.25,,2,0.5948138445023481,1.0,0,0.6070312499999999,2,0.5948138445023481,1.0,0,0.6070312499999999,0.20390394747011964
26,5,14,True,0.4697919999998579,0.12008688471565288,0.12008688471565288,0.12008688471565288,0.0,0.0,standard,0.85,,2,0.3318051547363715,1.0,0,0.5,2,0.3318051547363715,1.0,0,0.5,0.0
27,10,63,True,0.6333339999999854,2.360842630222076,1.6077544478786026,1.6077544478786026,0.7530881823434736,0.31899126722929144,standard,0.45,,2,1.7223041329606041,1.0,0,0.51171875,2,1.7223041329606041,1.0,0,0.51171875,2.1325051135070754
28,9,28,True,0.5289170000000176,0.7013095888872866,0.7013095888872866,0.5821349828692894,0.0,0.0,standard,0.65,,1,0.9199209366602034,1.0,0,0.234375,3,1.0256710626187941,1.0,0,0.81328125,1.037050416512086
29,11,63,True,0.7074579999999386,1.7494435514832327,1.0962791967420296,1.6187452467729848,0.6531643547412032,0.3733554901999725,standard,0.25,,2,1.166931221604189,1.0,0,0.5445312499999999,3,2.1147062153047536,1.0,0,0.77890625,3.0888076327870326
